Id,Name,Exponent,CenterOrder,DerivedOrder,AbelianInvariants,AbelRank,AbelianizationOrder,NilpotencyClass
1,C81,81,81,1,[ 81 ],1,81,1
2,C9 x C9,9,81,1,"[ 9, 9 ]",2,81,1
3,(C9 x C3) : C3,9,9,3,"[ 3, 9 ]",2,27,2
4,C9 : C9,9,9,3,"[ 3, 9 ]",2,27,2
5,C27 x C3,27,81,1,"[ 3, 27 ]",2,81,1
6,C27 : C3,27,9,3,"[ 3, 9 ]",2,27,2
7,(C3 x C3 x C3) : C3,9,3,9,"[ 3, 3 ]",2,9,3
8,(C9 x C3) : C3,9,3,9,"[ 3, 3 ]",2,9,3
9,(C9 x C3) : C3,9,3,9,"[ 3, 3 ]",2,9,3
10,C3 . ((C3 x C3) : C3) = (C3 x C3) . (C3 x C3),9,3,9,"[ 3, 3 ]",2,9,3
11,C9 x C3 x C3,9,81,1,"[ 3, 3, 9 ]",3,81,1
12,C3 x ((C3 x C3) : C3),3,9,3,"[ 3, 3, 3 ]",3,27,2
13,C3 x (C9 : C3),9,9,3,"[ 3, 3, 3 ]",3,27,2
14,(C9 x C3) : C3,9,9,3,"[ 3, 3, 3 ]",3,27,2
15,C3 x C3 x C3 x C3,3,81,1,"[ 3, 3, 3, 3 ]",4,81,1
