Id,Name,Exponent,CenterOrder,DerivedOrder,AbelianInvariants,AbelRank,AbelianizationOrder,NilpotencyClass
1,C27,27,27,1,[ 27 ],1,27,1
2,C9 x C3,9,27,1,"[ 3, 9 ]",2,27,1
3,(C3 x C3) : C3,3,3,3,"[ 3, 3 ]",2,9,2
4,C9 : C3,9,3,3,"[ 3, 3 ]",2,9,2
5,C3 x C3 x C3,3,27,1,"[ 3, 3, 3 ]",3,27,1
