Id,Name,Exponent,CenterOrder,DerivedOrder,AbelianInvariants,AbelRank,AbelianizationOrder,NilpotencyClass
1,C16,16,16,1,[ 16 ],1,16,1
2,C4 x C4,4,16,1,"[ 4, 4 ]",2,16,1
3,(C4 x C2) : C2,4,4,2,"[ 2, 4 ]",2,8,2
4,C4 : C4,4,4,2,"[ 2, 4 ]",2,8,2
5,C8 x C2,8,16,1,"[ 2, 8 ]",2,16,1
6,C8 : C2,8,4,2,"[ 2, 4 ]",2,8,2
7,D16,8,2,4,"[ 2, 2 ]",2,4,3
8,QD16,8,2,4,"[ 2, 2 ]",2,4,3
9,Q16,8,2,4,"[ 2, 2 ]",2,4,3
10,C4 x C2 x C2,4,16,1,"[ 2, 2, 4 ]",3,16,1
11,C2 x D8,4,4,2,"[ 2, 2, 2 ]",3,8,2
12,C2 x Q8,4,4,2,"[ 2, 2, 2 ]",3,8,2
13,(C4 x C2) : C2,4,4,2,"[ 2, 2, 2 ]",3,8,2
14,C2 x C2 x C2 x C2,2,16,1,"[ 2, 2, 2, 2 ]",4,16,1
