,81.1 C81,81.2 C9 x C9,81.3 (C9 x C3) : C3,81.4 C9 : C9,81.5 C27 x C3,81.6 C27 : C3,81.7 (C3 x C3 x C3) : C3,81.8 (C9 x C3) : C3,81.9 (C9 x C3) : C3,81.10 C3 . ((C3 x C3) : C3) = (C3 x C3) . (C3 x C3),81.11 C9 x C3 x C3,81.12 C3 x ((C3 x C3) : C3),81.13 C3 x (C9 : C3),81.14 (C9 x C3) : C3,81.15 C3 x C3 x C3 x C3
81.1 C81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
81.2 C9 x C9,81,6561,2673,2673,729,729,1377,1377,1377,1377,6561,2673,2673,2673,6561
81.3 (C9 x C3) : C3,27,729,2187,729,243,243,1701,1215,2187,729,2187,6561,2187,2187,6561
81.4 C9 : C9,27,729,1215,1215,243,243,1377,891,891,891,2187,2673,2673,2187,6561
81.5 C27 x C3,81,729,1215,729,729,405,1053,567,891,405,2187,2673,1215,891,6561
81.6 C27 : C3,27,729,1215,729,243,405,1053,567,891,405,2187,2673,1215,891,6561
81.7 (C3 x C3 x C3) : C3,9,81,729,81,81,81,1701,729,2025,81,729,6561,729,729,6561
81.8 (C9 x C3) : C3,9,81,729,81,81,81,1377,1053,2025,81,729,6561,729,729,6561
81.9 (C9 x C3) : C3,9,81,729,81,81,81,1377,729,2997,81,729,6561,729,729,6561
81.10 C3 . ((C3 x C3) : C3) = (C3 x C3) . (C3 x C3),9,81,729,81,81,81,1377,729,2025,567,729,6561,729,729,6561
81.11 C9 x C3 x C3,81,6561,24057,6561,2187,2187,22113,4617,8505,2673,59049,76545,24057,8505,531441
81.12 C3 x ((C3 x C3) : C3),27,729,19683,729,729,729,23085,4131,10935,729,19683,111537,19683,4131,531441
81.13 C3 x (C9 : C3),27,729,19683,729,729,729,22113,3159,7047,1215,19683,76545,24057,4131,531441
81.14 (C9 x C3) : C3,27,729,19683,729,729,729,21789,2835,7047,729,19683,76545,19683,4131,531441
81.15 C3 x C3 x C3 x C3,81,6561,531441,6561,6561,6561,550881,26001,64881,6561,531441,2106081,531441,26001,43046721
